[14:14:52.307] tio v2.7
[14:14:52.307] Press ctrl-t q to quit
[14:14:52.307] Connected
[14:14:56.404] Disconnected
[14:14:57.405] Connected
Starting the tinyML hello world demo
x_value: 2.111150, y_value: 0.906508
x_value: 2.117434, y_value: 0.847203
x_value: 2.123717, y_value: 0.847203
x_value: 2.130000, y_value: 0.847203
x_value: 2.136283, y_value: 0.847203
x_value: 2.142566, y_value: 0.855676
x_value: 2.148849, y_value: 0.855676
x_value: 2.155133, y_value: 0.855676
x_value: 2.161416, y_value: 0.855676
x_value: 2.167699, y_value: 0.864148
x_value: 2.173982, y_value: 0.864148
x_value: 2.180265, y_value: 0.864148
x_value: 2.186548, y_value: 0.864148
x_value: 2.192832, y_value: 0.821787
x_value: 2.199115, y_value: 0.821787
x_value: 2.205398, y_value: 0.821787
x_value: 2.211681, y_value: 0.821787
x_value: 2.217964, y_value: 0.821787
x_value: 2.224248, y_value: 0.821787
x_value: 2.230531, y_value: 0.821787
x_value: 2.236814, y_value: 0.762483
x_value: 2.243097, y_value: 0.762483
x_value: 2.249380, y_value: 0.762483
x_value: 2.255664, y_value: 0.762483
x_value: 2.261947, y_value: 0.770955
x_value: 2.268230, y_value: 0.770955
x_value: 2.274513, y_value: 0.770955
x_value: 2.280796, y_value: 0.770955
x_value: 2.287080, y_value: 0.779427
x_value: 2.293363, y_value: 0.779427
x_value: 2.299646, y_value: 0.779427
x_value: 2.305929, y_value: 0.779427
x_value: 2.312212, y_value: 0.720123
x_value: 2.318495, y_value: 0.720123
x_value: 2.324779, y_value: 0.720123
x_value: 2.331062, y_value: 0.720123
x_value: 2.337345, y_value: 0.737067
x_value: 2.343628, y_value: 0.737067
x_value: 2.349911, y_value: 0.737067
x_value: 2.356194, y_value: 0.737067
x_value: 2.362478, y_value: 0.745539
x_value: 2.368761, y_value: 0.745539
x_value: 2.375044, y_value: 0.745539
x_value: 2.381327, y_value: 0.745539
x_value: 2.387610, y_value: 0.677763
x_value: 2.393894, y_value: 0.677763
x_value: 2.400177, y_value: 0.677763
x_value: 2.406460, y_value: 0.677763
x_value: 2.412743, y_value: 0.677763
x_value: 2.419026, y_value: 0.677763
x_value: 2.425310, y_value: 0.677763
x_value: 2.431593, y_value: 0.677763
x_value: 2.437876, y_value: 0.609986
x_value: 2.444159, y_value: 0.609986
x_value: 2.450442, y_value: 0.609986
x_value: 2.456726, y_value: 0.609986
x_value: 2.463009, y_value: 0.618459
x_value: 2.469292, y_value: 0.618459
x_value: 2.475575, y_value: 0.618459
x_value: 2.481858, y_value: 0.618459
x_value: 2.488142, y_value: 0.609986
x_value: 2.494425, y_value: 0.609986
x_value: 2.500708, y_value: 0.609986
x_value: 2.506991, y_value: 0.533738
x_value: 2.513274, y_value: 0.533738
x_value: 2.519557, y_value: 0.533738
x_value: 2.525841, y_value: 0.533738
x_value: 2.532124, y_value: 0.542210
x_value: 2.538407, y_value: 0.542210
x_value: 2.544690, y_value: 0.542210
x_value: 2.550973, y_value: 0.542210
x_value: 2.557256, y_value: 0.559154
x_value: 2.563540, y_value: 0.559154
x_value: 2.569823, y_value: 0.559154
x_value: 2.576106, y_value: 0.559154
x_value: 2.582389, y_value: 0.482906
x_value: 2.588672, y_value: 0.482906
x_value: 2.594955, y_value: 0.482906
x_value: 2.601239, y_value: 0.482906
x_value: 2.607522, y_value: 0.499850
x_value: 2.613805, y_value: 0.499850
x_value: 2.620088, y_value: 0.499850
x_value: 2.626372, y_value: 0.499850
x_value: 2.632655, y_value: 0.423602
x_value: 2.638938, y_value: 0.423602
x_value: 2.645221, y_value: 0.423602
x_value: 2.651504, y_value: 0.423602
x_value: 2.657788, y_value: 0.432074
x_value: 2.664071, y_value: 0.432074
x_value: 2.670354, y_value: 0.432074
x_value: 2.676637, y_value: 0.432074
x_value: 2.682920, y_value: 0.440546
x_value: 2.689204, y_value: 0.440546
x_value: 2.695487, y_value: 0.440546
x_value: 2.701770, y_value: 0.440546
x_value: 2.708053, y_value: 0.364297
x_value: 2.714336, y_value: 0.364297
x_value: 2.720619, y_value: 0.364297
x_value: 2.726902, y_value: 0.364297
x_value: 2.733186, y_value: 0.364297
x_value: 2.739469, y_value: 0.364297
x_value: 2.745752, y_value: 0.364297
x_value: 2.752035, y_value: 0.364297
x_value: 2.758318, y_value: 0.364297
x_value: 2.764602, y_value: 0.364297
x_value: 2.770885, y_value: 0.364297
x_value: 2.777168, y_value: 0.304993
x_value: 2.783451, y_value: 0.304993
x_value: 2.789734, y_value: 0.304993
x_value: 2.796017, y_value: 0.304993
x_value: 2.802301, y_value: 0.313465
x_value: 2.808584, y_value: 0.313465
x_value: 2.814867, y_value: 0.313465
x_value: 2.821150, y_value: 0.313465
x_value: 2.827433, y_value: 0.237217
x_value: 2.833717, y_value: 0.237217
x_value: 2.840000, y_value: 0.237217
x_value: 2.846283, y_value: 0.237217
x_value: 2.852566, y_value: 0.237217
x_value: 2.858850, y_value: 0.237217
x_value: 2.865133, y_value: 0.237217
x_value: 2.871416, y_value: 0.237217
x_value: 2.877699, y_value: 0.254161
x_value: 2.883982, y_value: 0.254161
x_value: 2.890265, y_value: 0.254161
x_value: 2.896549, y_value: 0.254161
x_value: 2.902832, y_value: 0.186385
x_value: 2.909115, y_value: 0.186385
x_value: 2.915398, y_value: 0.186385
x_value: 2.921681, y_value: 0.186385
x_value: 2.927964, y_value: 0.177913
x_value: 2.934248, y_value: 0.177913
x_value: 2.940531, y_value: 0.177913
x_value: 2.946814, y_value: 0.177913
x_value: 2.953097, y_value: 0.177913
x_value: 2.959380, y_value: 0.177913
x_value: 2.965664, y_value: 0.177913
x_value: 2.971947, y_value: 0.177913
x_value: 2.978230, y_value: 0.118608
x_value: 2.984513, y_value: 0.118608
x_value: 2.990796, y_value: 0.118608
x_value: 2.997079, y_value: 0.118608
x_value: 3.003363, y_value: 0.127081
x_value: 3.009646, y_value: 0.127081
x_value: 3.015929, y_value: 0.127081
x_value: 3.022212, y_value: 0.127081
x_value: 3.028495, y_value: 0.050832
x_value: 3.034779, y_value: 0.050832
x_value: 3.041062, y_value: 0.050832
x_value: 3.047345, y_value: 0.059304
x_value: 3.053628, y_value: 0.059304
x_value: 3.059911, y_value: 0.059304
x_value: 3.066195, y_value: 0.059304
x_value: 3.072478, y_value: 0.067776
x_value: 3.078761, y_value: 0.067776
x_value: 3.085044, y_value: 0.067776
x_value: 3.091327, y_value: 0.067776
x_value: 3.097610, y_value: 0.000000
x_value: 3.103894, y_value: 0.000000
x_value: 3.110177, y_value: 0.000000
x_value: 3.116460, y_value: 0.000000
x_value: 3.122743, y_value: 0.008472
x_value: 3.129026, y_value: 0.008472
x_value: 3.135310, y_value: 0.008472
x_value: 3.141593, y_value: 0.008472
x_value: 3.147876, y_value: 0.008472
x_value: 3.154159, y_value: 0.008472
x_value: 3.160442, y_value: 0.008472
x_value: 3.166726, y_value: 0.008472
x_value: 3.173009, y_value: 0.000000
x_value: 3.179292, y_value: 0.000000
x_value: 3.185575, y_value: 0.000000
x_value: 3.191858, y_value: 0.000000
x_value: 3.198141, y_value: -0.059304
x_value: 3.204425, y_value: -0.059304
x_value: 3.210708, y_value: -0.059304
x_value: 3.216991, y_value: -0.059304
x_value: 3.223274, y_value: -0.059304
x_value: 3.229557, y_value: -0.059304
x_value: 3.235840, y_value: -0.059304
x_value: 3.242124, y_value: -0.059304
x_value: 3.248407, y_value: -0.135553
x_value: 3.254690, y_value: -0.135553
x_value: 3.260973, y_value: -0.135553
x_value: 3.267256, y_value: -0.135553
x_value: 3.273540, y_value: -0.135553
x_value: 3.279823, y_value: -0.135553
x_value: 3.286106, y_value: -0.135553
x_value: 3.292389, y_value: -0.135553
x_value: 3.298672, y_value: -0.118608
x_value: 3.304956, y_value: -0.118608
x_value: 3.311239, y_value: -0.118608
x_value: 3.317522, y_value: -0.194857
x_value: 3.323805, y_value: -0.194857
x_value: 3.330088, y_value: -0.194857
x_value: 3.336372, y_value: -0.194857
x_value: 3.342655, y_value: -0.186385
x_value: 3.348938, y_value: -0.186385
x_value: 3.355221, y_value: -0.186385
x_value: 3.361504, y_value: -0.186385
x_value: 3.367788, y_value: -0.177913
x_value: 3.374071, y_value: -0.177913
x_value: 3.380354, y_value: -0.177913
x_value: 3.386637, y_value: -0.177913
