interpreter_make_new: model size = 2488, tensor area = 2064
time step,y
3.348938,-0.186384
3.355221,-0.186384
3.361504,-0.186384
3.367787,-0.177912
3.374071,-0.177912
3.380354,-0.177912
3.386637,-0.177912
3.392920,-0.254160
3.399203,-0.254160
3.405486,-0.254160
3.411770,-0.254160
3.418053,-0.237216
3.424336,-0.237216
3.430620,-0.237216
3.436902,-0.237216
3.443186,-0.304992
3.449469,-0.304992
3.455752,-0.304992
3.462035,-0.304992
3.468318,-0.321936
3.474602,-0.321936
3.480885,-0.321936
3.487168,-0.321936
3.493451,-0.313464
3.499734,-0.313464
3.506018,-0.313464
3.512301,-0.313464
3.518584,-0.372768
3.524867,-0.372768
3.531150,-0.372768
3.537433,-0.372768
3.543717,-0.372768
3.550000,-0.372768
3.556283,-0.372768
3.562566,-0.372768
3.568849,-0.372768
3.575133,-0.372768
3.581416,-0.372768
3.587699,-0.372768
3.593982,-0.440544
3.600265,-0.440544
3.606548,-0.440544
3.612832,-0.423600
3.619115,-0.423600
3.625398,-0.423600
3.631681,-0.423600
3.637964,-0.499849
3.644248,-0.499849
3.650531,-0.499849
3.656814,-0.499849
3.663097,-0.491376
3.669380,-0.491376
3.675664,-0.491376
3.681947,-0.491376
3.688230,-0.474432
3.694513,-0.474432
3.700796,-0.474432
3.707080,-0.474432
3.713362,-0.542209
3.719646,-0.542209
3.725929,-0.542209
3.732212,-0.542209
3.738495,-0.542209
3.744779,-0.542209
3.751062,-0.542209
3.757345,-0.542209
3.763628,-0.533737
3.769911,-0.533737
3.776194,-0.533737
3.782478,-0.533737
3.788761,-0.609985
3.795044,-0.609985
3.801327,-0.609985
3.807610,-0.609985
3.813894,-0.609985
3.820177,-0.609985
3.826460,-0.609985
3.832743,-0.609985
3.839026,-0.660817
3.845310,-0.660817
3.851593,-0.660817
3.857876,-0.660817
3.864159,-0.643873
3.870442,-0.643873
3.876726,-0.643873
3.883008,-0.652345
3.889292,-0.652345
3.895575,-0.652345
3.901858,-0.652345
3.908141,-0.711649
3.914425,-0.711649
3.920708,-0.711649
3.926991,-0.711649
3.933274,-0.694705
3.939557,-0.694705
3.945841,-0.694705
3.952124,-0.694705
3.958407,-0.703177
3.964690,-0.703177
3.970973,-0.703177
3.977256,-0.703177
3.983540,-0.787897
3.989823,-0.787897
3.996106,-0.787897
4.002389,-0.787897
4.008672,-0.762481
4.014956,-0.762481
4.021239,-0.762481
4.027522,-0.762481
4.033806,-0.838729
4.040088,-0.838729
4.046372,-0.838729
4.052655,-0.838729
4.058938,-0.779425
4.065221,-0.779425
4.071504,-0.779425
4.077788,-0.779425
4.084070,-0.779425
4.090354,-0.779425
4.096637,-0.779425
4.102920,-0.779425
